rules,support,confidence,lift,count,lhs_length
{itemID=214725506} => {itemID=214692581},0.0022948863661105814,0.5501043841336117,107.78713385394772,527,1
{itemID=214692581} => {itemID=214725506},0.0022948863661105814,0.44965870307167233,107.78713385394772,527,1
{itemID=214712235} => {itemID=214700000},0.0021903754120562095,0.4467140319715808,83.46937104636761,503,1
{itemID=214700000} => {itemID=214712235},0.0021903754120562095,0.4092758340113914,83.46937104636761,503,1
{itemID=214684372} => {itemID=214613915},0.004315431477828436,0.5339439655172413,58.30500531875645,991,1
{itemID=214613915} => {itemID=214684372},0.004315431477828436,0.4712315739419876,58.30500531875646,991,1
{itemID=214706460} => {itemID=214640520},0.0021947300351418085,0.37809452363090773,53.26748742400324,504.00000000000006,1
{itemID=214640520} => {itemID=214706460},0.0021947300351418085,0.30920245398773005,53.26748742400324,504.00000000000006,1
{itemID=214837280} => {itemID=214838092},0.0026432562129584873,0.4084791386271871,46.16316824482573,607,1
{itemID=214829880} => {itemID=214845579},0.002617128474444894,0.4339350180505415,27.286218915702193,601,1
{itemID=214640520} => {itemID=214845407},0.00418914740834607,0.5901840490797546,82.04022712755686,961.9999999999999,1
{itemID=214845407} => {itemID=214640520},0.00418914740834607,0.5823244552058111,82.04022712755686,961.9999999999999,1
{itemID=214844336} => {itemID=214527519},0.0025126175203905227,0.33841642228739005,38.74092005508401,577,1
{itemID=214836956} => {itemID=214832156},0.0020858644580018376,0.32126089872568747,43.04240025919813,479,1
{itemID=214845581} => {itemID=214845577},0.002660674705300883,0.30398009950248756,12.525801907383949,611,1
{itemID=214602733} => {itemID=214835473},0.0025866461128457026,0.47368421052631576,11.087281193504605,594,1
{itemID=214743335} => {itemID=214838225},0.0025474545050753134,0.36631183469004386,19.324653349427145,585,1
{itemID=214743335} => {itemID=214835473},0.0021642476735426164,0.3112085159674389,7.284296688949,497,1
{itemID=214850402} => {itemID=214845587},0.003222421083343131,0.5683563748079877,50.08362481476635,740,1
{itemID=214845585} => {itemID=214845583},0.0028871151057520217,0.3827944572748268,31.16104287949256,663,1
{itemID=214845887} => {itemID=214849001},0.002604064605188098,0.4029649595687331,42.70294244592684,598,1
{itemID=214845887} => {itemID=214846007},0.0032964496757983113,0.5101078167115903,44.83033644755695,757,1
{itemID=214835167} => {itemID=214829765},0.002948079828950405,0.3144449605202044,34.36908861438375,677,1
{itemID=214829765} => {itemID=214835167},0.002948079828950405,0.3222275107091861,34.36908861438374,677,1
{itemID=214844368} => {itemID=214844370},0.0037928767075565773,0.34090019569471625,10.6727555336783,871,1
{itemID=214848997} => {itemID=214846007},0.0024647166664489356,0.30528586839266453,26.829755875836153,566,1
{itemID=214845412} => {itemID=214845587},0.002878405859580824,0.39819277108433737,35.088789771518925,661,1
{itemID=214846061} => {itemID=214846007},0.0025953553590169,0.3443096476025419,30.25932330084016,596,1
{itemID=214835064} => {itemID=214835070},0.0032703219372847182,0.3416742493175614,25.532839664020212,751,1
{itemID=214835064} => {itemID=214835428},0.0032180664602575325,0.3362147406733394,20.693832555070045,739,1
{itemID=214835064} => {itemID=214835426},0.004163019669832477,0.4349408553230209,16.85173830896471,955.9999999999999,1
{itemID=214829878} => {itemID=214845577},0.005312640164430568,0.404777704047777,16.679267312979643,1220,1
{itemID=214836932} => {itemID=214844347},0.006349040458803089,0.5506042296072508,26.868105799243235,1458,1
