rules,support,confidence,lift,count
{itemID=214845585} => {BUY=TRUE},6.1500308125276e-4,0.24166666666666667,2.550964112963402,492.99999999999994
{itemID=214845587} => {BUY=TRUE},7.385026858045314e-4,0.1861635220125786,1.9650888157115598,592
{itemID=214845583} => {BUY=TRUE},7.409976273106277e-4,0.18316373728029603,1.9334239473032768,594
{itemID=214844402} => {BUY=TRUE},8.832092931581219e-4,0.19068138971182333,2.0127781330959316,708
{itemID=214844355} => {BUY=TRUE},9.518201845757727e-4,0.19103655483224838,2.0165271543775067,763
{itemID=214835428} => {BUY=TRUE},9.056637667129894e-4,0.1742260619150468,1.8390804061581687,726
{itemID=214844372} => {BUY=TRUE},0.001037895666536098,0.15707003964508212,1.6579863490607307,832
{itemID=214844398} => {BUY=TRUE},0.001767666057069292,0.1721749696233293,1.8174296634193525,1417
{itemID=214844370} => {BUY=TRUE},0.00183128706547475,0.1637479085331846,1.7284760203074518,1468
{itemID=214844396} => {BUY=TRUE},0.0018949080738802078,0.16270351328191945,1.7174516831803066,1519
"{day=Sunday,itemID=214844345} => {BUY=TRUE}",5.551244851064467e-4,0.15323691460055097,1.6175249790092816,445
"{day=Sunday,itemID=214844398} => {BUY=TRUE}",7.958863404447482e-4,0.17261904761904762,1.822117223545287,638
"{day=Sunday,itemID=214844370} => {BUY=TRUE}",8.657447026154472e-4,0.15979737508634584,1.6867753207904286,694
"{day=Sunday,itemID=214844396} => {BUY=TRUE}",8.170933432465676e-4,0.15669856459330145,1.654065164815405,655
"{day=Saturday,hour=14} => {BUY=TRUE}",0.0011801073323835923,0.1772863568215892,1.8713840026340625,946.0000000000001
"{day=Saturday,hour=15} => {BUY=TRUE}",0.001191334569161026,0.15272669118822965,1.6121392068116593,955.0000000000001
