From,To,Weight
BSO,MNL,
BXU,MNL,
CBO,MNL,
CGY,MNL,
CRM,MNL,
DGT,MNL,
GES,MNL,
KLO,MNL,
LGP,MNL,
MNL,BSO,
MNL,BXU,
MNL,CBO,
MNL,CGY,
MNL,CRM,
MNL,DGT,
MNL,DWC,
MNL,GES,
MNL,KLO,
MNL,LGP,
MNL,MPH,
MNL,OZC,
MNL,PPS,
MNL,RXS,
MNL,SUG,
MNL,TUG,
MNL,ZAM,
MPH,MNL,
OZC,MNL,
PPS,MNL,
RXS,MNL,
SUG,MNL,
TUG,MNL,
ZAM,MNL,
HAK,SIN,
HGH,SIN,
KUL,SIN,
MNL,KIX,
MNL,SIN,
PEN,SIN,
SIN,BKK,
SIN,DRW,
SIN,HAK,
SIN,HGH,
SIN,HKG,
SIN,HKT,
SIN,KUL,
SIN,MNL,
SIN,PEN,
SIN,PER,
SIN,PNH,
SIN,REP,
SIN,RGN,
SIN,SGN,
SIN,SWA,
SIN,TPE,
SWA,SIN,
BHY,XIY,
CAN,CKG,
CAN,CTU,
CAN,SPN,
CGO,CGQ,
CGO,CKG,
CGO,CTU,
CGO,HGH,
CGO,HRB,
CGO,KMG,
CGO,URC,
CGQ,CGO,
CGQ,NKG,
CGQ,TNA,
CGQ,TSN,
CKG,CAN,
CKG,CGO,
CKG,CSX,
CKG,CTU,
CKG,CZX,
CKG,DLC,
CKG,DYG,
CKG,HAK,
CKG,HGH,
CKG,HKT,
CKG,INC,
CKG,KHN,
CKG,KMG,
CKG,LHW,
CKG,LJG,
CKG,LXA,
CKG,NGB,
CKG,NKG,
CKG,NNG,
CKG,PEK,
CKG,PVG,
CKG,PZI,
CKG,SWA,
CKG,SYD,
CKG,SYX,
CKG,SZX,
CKG,TNA,
CKG,TSA,
CKG,TSN,
CKG,TYN,
CKG,URC,
CKG,WUH,
CKG,WUX,
CKG,XIY,
CKG,XNN,
CKG,YIH,
CKG,ZHA,
CSX,CKG,
CSX,CTU,
CSX,FOC,
CSX,KMG,
CSX,SHE,
CSX,WNZ,
CSX,XMN,
CTU,CAN,
CTU,CGO,
CTU,CKG,
CTU,CSX,
CTU,DCY,
CTU,DSN,
CTU,HAK,
CTU,HDG,
CTU,HET,
CTU,HFE,
CTU,HGH,
CTU,HKG,
CTU,HKT,
CTU,ICN,
CTU,INC,
CTU,JHG,
CTU,JIQ,
CTU,JZH,
CTU,KHN,
CTU,KMG,
CTU,KOW,
CTU,KWE,
CTU,LHW,
CTU,LJG,
CTU,LUM,
CTU,LXA,
CTU,LZY,
CTU,MEL,
CTU,NKG,
CTU,NNG,
CTU,PEK,
CTU,PVG,
CTU,PZI,
CTU,SHE,
CTU,SJW,
CTU,SYX,
CTU,SZX,
CTU,TAO,
CTU,TNA,
CTU,TSA,
CTU,TSN,
CTU,TYN,
CTU,URC,
CTU,WNZ,
CTU,WUH,
CTU,WUX,
CTU,WXN,
CTU,XIC,
CTU,XIY,
CTU,XMN,
CTU,XNN,
CTU,XUZ,
CTU,YIH,
CTU,YTY,
CZX,CKG,
CZX,HRB,
CZX,XMN,
CZX,ZUH,
DAT,TYN,
DLC,CKG,
DLC,HGH,
DLC,HRB,
DLC,TNA,
DLC,XUZ,
DNH,LHW,
DSN,CTU,
DSN,SHE,
DYG,CKG,
DYG,NKG,
FOC,CSX,
FOC,XIY,
GXH,LXA,
GXH,XIY,
HAK,CKG,
HAK,CTU,
HAK,HGH,
HAK,NGB,
HAK,ZUH,
HDG,CTU,
HET,CTU,
HFE,CTU,
HGH,CGO,
HGH,CKG,
HGH,CTU,
HGH,DLC,
HGH,HAK,
HGH,KWE,
HGH,TSN,
HGH,TYN,
HRB,CGO,
HRB,CZX,
HRB,DLC,
HRB,INC,
HRB,NGB,
HRB,NKG,
HRB,NZH,
HRB,SJW,
HRB,TNA,
HRB,TSN,
HRB,WNZ,
HRB,WUH,
HRB,XIY,
HRB,XUZ,
INC,CKG,
INC,CTU,
INC,HRB,
INC,KWL,
JGN,LHW,
JHG,CTU,
JHG,KMG,
JJN,KWE,
JJN,WUH,
JZH,CTU,
KHG,URC,
KHN,CKG,
KHN,CTU,
KHN,KMG,
KHN,NGB,
KMG,CGO,
KMG,CKG,
KMG,CSX,
KMG,CTU,
KMG,JHG,
KMG,KHN,
KMG,KWE,
KMG,LUM,
KMG,NGB,
KMG,NKG,
KMG,TAO,
KMG,TNA,
KMG,TPE,
KMG,WXN,
KMG,XIY,
KMG,XMN,
KMG,XUZ,
KOW,CTU,
KOW,XMN,
KWE,CTU,
KWE,HGH,
KWE,JJN,
KWE,KMG,
KWE,LHW,
KWE,SYX,
KWE,WNZ,
KWE,XUZ,
KWL,INC,
KWL,SJW,
KWL,SYX,
LHW,CKG,
LHW,CTU,
LHW,DNH,
LHW,JGN,
LHW,KWE,
LHW,TSN,
LJG,CKG,
LJG,CTU,
LJG,MIG,
LUM,CTU,
LUM,KMG,
LXA,CKG,
LXA,CTU,
LXA,GXH,
LXA,XIY,
LXA,XNN,
LYI,XIY,
LZY,CTU,
MIG,LJG,
MIG,NKG,
MIG,SYX,
MIG,XNN,
NGB,CKG,
NGB,HAK,
NGB,HRB,
NGB,KHN,
NGB,KMG,
NGB,SHE,
NGB,SYX,
NKG,CGQ,
NKG,CKG,
NKG,CTU,
NKG,DYG,
NKG,HRB,
NKG,KMG,
NKG,MIG,
NKG,SYX,
NNG,CKG,
NNG,CTU,
NNG,SGN,
NNG,WUH,
PEK,CKG,
PEK,CTU,
PEK,WXN,
PEK,ZHY,
PVG,CKG,
PVG,CTU,
PVG,SPN,
SHE,CSX,
SHE,CTU,
SHE,DSN,
SHE,NGB,
SHE,TYN,
SHE,XUZ,
SHE,YVR,
SJW,CTU,
SJW,HRB,
SJW,KWL,
SWA,CKG,
SYX,CKG,
SYX,CTU,
SYX,KWE,
SYX,KWL,
SYX,MIG,
SYX,NGB,
SYX,NKG,
SYX,TNA,
SYX,WNZ,
SYX,YBP,
SZX,CKG,
SZX,CTU,
SZX,WXN,
TAO,CTU,
TAO,KMG,
TNA,CGQ,
TNA,CKG,
TNA,CTU,
TNA,DLC,
TNA,HRB,
TNA,KMG,
TNA,SYX,
TNA,XIY,
TSN,CGQ,
TSN,CKG,
TSN,CTU,
TSN,HGH,
TSN,HRB,
TSN,LHW,
TYN,CKG,
TYN,CTU,
TYN,DAT,
TYN,HGH,
TYN,SHE,
TYN,TVS,
URC,CGO,
URC,CKG,
URC,CTU,
URC,KHG,
URC,XIY,
UYN,XIY,
WNZ,CSX,
WNZ,CTU,
WNZ,HRB,
WNZ,KWE,
WNZ,SYX,
WUH,CKG,
WUH,CTU,
WUH,HRB,
WUH,JJN,
WUH,NNG,
