SL No,Airline,AirlineID,Source,SourceID,Target,TargetID,A,B,C,Source_Country,Target_Country
177,2P,897,BSO,6019,MNL,2397,,0,DH4,Philippines,Philippines
178,2P,897,BXU,4200,MNL,2397,,0,320,Philippines,Philippines
179,2P,897,CBO,2399,MNL,2397,,0,320,Philippines,Philippines
180,2P,897,CGY,2400,MNL,2397,,0,320,Philippines,Philippines
181,2P,897,CRM,6024,MNL,2397,,0,DH4,Philippines,Philippines
182,2P,897,DGT,2425,MNL,2397,,0,320,Philippines,Philippines
184,2P,897,GES,2402,MNL,2397,Y,0,320,Philippines,Philippines
185,2P,897,KLO,2430,MNL,2397,,0,320,Philippines,Philippines
186,2P,897,LGP,4203,MNL,2397,,0,320,Philippines,Philippines
187,2P,897,MNL,2397,BSO,6019,,0,DH4,Philippines,Philippines
188,2P,897,MNL,2397,BXU,4200,,0,320,Philippines,Philippines
189,2P,897,MNL,2397,CBO,2399,,0,320,Philippines,Philippines
190,2P,897,MNL,2397,CGY,2400,,0,320,Philippines,Philippines
191,2P,897,MNL,2397,CRM,6024,,0,DH4,Philippines,Philippines
192,2P,897,MNL,2397,DGT,2425,,0,320,Philippines,Philippines
193,2P,897,MNL,2397,DWC,8076,,0,330,Philippines,United Arab Emirates
194,2P,897,MNL,2397,GES,2402,Y,0,320,Philippines,Philippines
195,2P,897,MNL,2397,KLO,2430,,0,320,Philippines,Philippines
196,2P,897,MNL,2397,LGP,4203,,0,320,Philippines,Philippines
197,2P,897,MNL,2397,MPH,2426,,0,DH3,Philippines,Philippines
198,2P,897,MNL,2397,OZC,4204,,0,320,Philippines,Philippines
199,2P,897,MNL,2397,PPS,2433,,0,320,Philippines,Philippines
200,2P,897,MNL,2397,RXS,6026,,0,320,Philippines,Philippines
201,2P,897,MNL,2397,SUG,6016,,0,DH4,Philippines,Philippines
202,2P,897,MNL,2397,TUG,6021,,0,DH4,Philippines,Philippines
203,2P,897,MNL,2397,ZAM,2404,,0,320,Philippines,Philippines
204,2P,897,MPH,2426,MNL,2397,,0,DH3,Philippines,Philippines
205,2P,897,OZC,4204,MNL,2397,,0,320,Philippines,Philippines
206,2P,897,PPS,2433,MNL,2397,,0,320,Philippines,Philippines
207,2P,897,RXS,6026,MNL,2397,,0,320,Philippines,Philippines
208,2P,897,SUG,6016,MNL,2397,,0,DH4,Philippines,Philippines
209,2P,897,TUG,6021,MNL,2397,,0,DH4,Philippines,Philippines
210,2P,897,ZAM,2404,MNL,2397,,0,320,Philippines,Philippines
